,cafe,review,친절해요,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,매장이 청결해요,음료가 맛있어요,대화하기 좋아요,사진이 잘 나와요,뷰가 좋아요,가성비가 좋아요,집중하기 좋아요
30,서촌스코프,헤이즐럿초콜렛스콘 꼭 드셔보세요 그 다음은 바나나 좋아하는 분은 바나나케익 맛보시길 층에 아담한 좌석도 있고 햇빛받으며 빵이랑 커피도 마실수 있어요 빵집 여기가 맛집,0,0,1,1,0,0,0,0,0,0,0
31,서촌스코프,친구 추천으로 처음 가봤어요 크기가 생각보다 커서 만족 맛도 만족 주말이라서 그런지 사람이 많았어요,0,0,1,0,0,0,0,0,0,0,0
32,서촌스코프,정말 맛있는 스콘을 맛볼 거 같아서 신나서 방문했던 곳이에요 그동안 먹었던 스콘이랑은 차원이 다르게 겉면이 아주 바삭바삭하고 속 은 시트처럼 푹신하네요 커피는 숨 맛 신맛 탐 맛 없이 깔끔하고 진한 맛이에요 아쉬운 점은 층이 규모가 작은데 인원이 꽉 차고 소리 가 울려서 너무 시끄러웠어요 포장해서 집에서 드시는 게 제일 좋은 방법을 듯 하네요,0,1,0,1,0,0,0,0,0,0,0
33,효자베이커리,콘브래드가 왜 베스트 위 템인지 한 입 먹자마자 납득이 딱 갑니다 고로케같은데 빵부분은 카스테라마냥 부드럽고 고로케라고하기엔 느끼하지 않은 내용물 증말 또 먹고싶네요 옛날호두타르트는 직원분 추천 받아서 샀는데 호두토핑이 넉넉하니 맛있었어요,0,0,0,1,0,0,0,0,0,0,0
34,효자베이커리,콘브레드 무화과빵 소금빵 개입 구매 서촌 갈 때마다 꼭 들려서 콘브레드 무화과빵 사옴 이 집만의 특별한 맛이 있는데 요새 빵집에선 안나는 맛이 참 묘함 소금빵도 촉촉계로 버터롤에 가까운데 안에 버터 덩어리가 안 녹아있음 젊은 사장님이 물려받으셨는지 몇 년 전부터 적극적으로 판매하심 가보면 어느 새 추천메뉴 사고있는 자신을 발견할 수도,0,0,0,1,0,0,0,0,0,0,0
35,효자베이커리,대표빵은 못 샀지만 오랜만에 가니 정감있고 좋네요 예전엔 젊은 남자 사장님이 안계셨던 것 같은데 파이팅 넘치고 친절하셔서 좋더라고요,1,0,0,0,0,0,0,0,0,0,0
36,효자베이커리,무화과빵이랑 깨찰빵 너무 맛있어요 위인 콘브래드는 오히려 제 입맛은 아니었어요 좀 느끼 고로케를 구운 느낌이고 안에 양파맛이랑 크림맛만 났어요 다른 빵은 다 맛있어요 붓세도 부드럽고 향긋,0,0,0,1,0,0,0,0,0,0,0
37,효자베이커리,대한민국에 몇 없는 빵 명장이 운영하는 곳이다보니 빵 맛은 말모말모 그리고 다른 빵 명장이 운영하는 빵집보다 가격도 좀 저렴함 콩 식빵 구매했는데 너무 맛있고 수제 양갱도 구매해 봄 다른 사람들 다 사는 콘브래드는 안샀지만 무화과빵 사봤는데 이것도 너무 맛있 음 아 그리고 스탭분이 사장님이신가 친절하다 못해 스윗해서 심쿵할 정도,1,0,0,1,0,0,0,0,0,0,0
38,효자베이커리,진짜 천원이라는 가격이 안 믿기는 맛과 양이에요 대표 메뉴 꼭 드셔보세요,0,0,0,1,0,0,0,0,0,1,0
39,효자베이커리,콘브레이드 너무 맛있어요,0,0,0,1,0,0,0,0,0,0,0
40,효자베이커리,먹음직하게 생긴 독특한 생김새 맛난 빵을 맛 볼수 있는 집,0,0,0,0,0,0,0,0,0,0,0
41,효자베이커리,무화과 크림치즈빵 맛있어요,0,0,0,1,0,0,0,0,0,0,0
42,카페이마,정말 와플은 여기가 최고에요 부드럽고 촉촉하구 위에 올라간 아이스크림도 쫀득하니 맛있어요,0,0,0,1,0,0,0,0,0,0,0
43,카페이마,건강한 맛의 함박스테이크 예요 집에서 정성스레 만든 음식같아 맛있게 먹었어요 채소 잘 먹는데도 소스에 양파가 너무 많이 들어 있는 건 좀 부담스러웠어요,0,0,0,0,0,0,0,0,0,0,0
44,카페이마,커피 산미조금있지만 풍미가득 와플 맛있고 함박스테이크가 메인인곳 다시 꼭 와보고싶은곳 화장실 청결하고 매장도 조용한 편,0,1,0,1,1,0,1,0,0,0,1
45,카페이마,아이스크림 와플 맛있어요,0,0,0,1,0,0,0,0,0,0,0
46,카페이마,그냥 클래식함박 그대로임 양이 결코 많지 않은 다른 테이블은 남기던데 왜지 에이드 시켰는데 그냥 사이다 써서 인위적 단맛에 실망 꼭 먹겠다면 레몬 오렌지,0,0,0,0,0,0,0,0,0,0,0
47,카페이마,밥이 먹고 싶을 때 가도 좋고 디저트가 생각날 때 가도 좋고,0,0,0,1,0,0,0,0,0,0,0
48,카페이마,베이클에 크림치즈 많이줘서 넘 좋아요,0,0,0,1,0,0,0,0,0,0,0
49,인왕산 대충유원지,엄마와 방문했는데 여러모로 만족스러웠습니다 거봉녹차는 이름답게 거봉향이 그득히 올라와서 좋네요 마치 가벼운 봉봉을 마시는 느낌 테라스도 있는데 인왕산을 배경으로 사진찍기도 좋아서 정말 추천합니다 감사히 잘 마셨습니다,0,0,0,1,0,1,0,1,1,0,0
50,인왕산 대충유원지,서촌 한옥 풍경이 내려다 보이는 뷰를 가진 카페 카페 안은 약간 바 같은 분위기에 한옥느낌을 살짝 첨가한 느낌입니다 커피를 바로 눈앞에서 내려주시는데 직접 보는 재미도 있고 커피맛도 좋습니다 적당한 가격에 위스키들도 구비해놓고 있는데 커다란 사운드에서 나오는 음악과 즐기기엔 딱 좋을 듯 합니다 조금 좁은게 아쉽지만 데이트 코스로도 정말 좋은 느낌,0,1,1,0,0,0,0,0,1,0,1
51,인왕산 대충유원지,연남동과는 또 다른 분위기라 좋았던 인왕산 대충유원지,0,0,0,0,0,0,0,0,0,0,0
52,인왕산 대충유원지,독특하고 신기하고 재미난 공간이었어요 달달한 밀크향이 나는 차도 좋았고 달달 든든한 미숫가루도 좋았고요 친절한 서비스도 좋았 어요,1,0,0,0,0,1,0,0,0,0,0
53,인왕산 대충유원지,생각보다 많이 좁아요 음료값 비쌈 뷰는 좋음,0,0,0,0,0,0,0,0,1,0,0
54,인왕산 대충유원지,서촌중에 제일 분위기 좋은 카페인것 같아요 저만 알고 싶은 카페 최고입니다,0,0,1,0,0,0,0,0,1,0,0
55,인왕산 대충유원지,커피보다 호지차가 맛잇어요 내부가 시끄럽고 주말 오후 웨이팅이 잇어요,0,0,0,0,0,1,0,0,0,0,0
56,스쿠퍼젤라또,왜 이제야 왔는지 스스로 후회가 될 정도로 너무 맛있었어요 이탈리아에서 먹었던 바로 그 맛리라 먹으면서 너무 반갑고 기분 좋았습니다 위치도 아이스크림 한 컵 들고 서촌 산책하기 딱 좋은 위치입니다,0,0,0,1,0,0,0,0,0,0,0
57,스쿠퍼젤라또,맛나요 바질민트 이탈리아 피스타치오 인기 있을만 합니다 제일 많이 나갔더라두요 역시 두개가 진짜 맛있어요 맛보기 스푼으로 먹은 패션후르츠도 상큼해서 좋더라구요 원에 젤라또 이정도면 가성비 좋다고 생각해요,0,0,0,1,0,0,0,0,0,1,0
58,스쿠퍼젤라또,서촌 스쿠퍼 유명한건 다 아시겠지만 정말 너무 맛나요 엄마도 모시고 왔는데 넘 만족하셨어요 매일 바뀌는 메뉴도 시즌 메뉴도 달라지는게 넘 독특하고 신선해서 좋아요 다음엔 또 다른맛 먹으러 가야쥐,0,0,0,0,0,0,0,0,0,0,0
59,스쿠퍼젤라또,고소한 맛으로만 선택했는데 다 맛있어요 앞 매장때문에 영향 받으실텐데 사장님이 참 친절하셨어요,1,0,0,1,0,0,0,0,0,0,0
60,스쿠퍼젤라또,동네라 자주 방문하는데 맛있어요 바질우유 백향과 진짜 맛있어요,0,0,0,1,0,0,0,0,0,0,0
61,스쿠퍼젤라또,다맛있는데 초콜렛 진짜 진하고 맛있어요 우유초코칩이 진짜 제수탈입니다,0,0,0,0,0,0,0,0,0,0,0
62,스쿠퍼젤라또,세가지 맛의 젤라또를 한번에 맛볼 수 있어서 좋았습니다,0,0,0,0,0,0,0,0,0,0,0
63,스쿠퍼젤라또,패션후르츠맛 최고에염 젤라또 넘 맛있고 직원분도 친절하세요,1,0,0,1,0,0,0,0,0,0,0
64,스쿠퍼젤라또,수박맛 젤라또 먹어봤는데 맛있어서 다른 맛도 궁금해졌어요,0,0,0,1,0,0,0,0,0,0,0
65,통인동커피공방 위켄드,매장도 밖에서 본거보다 넓직하거 스탭분도 매우 친절하게 이벤트 하는거 알려주시고 그랬어요 에스프레소빈도 둘중에 선택할수있어서 좋았어요,1,0,1,0,0,0,0,0,0,0,0
66,통인동커피공방 위켄드,브라우니가 맛있네요 커피도 디카페인 선택 할 수 있고 우유도 선택할 수 있어서 좋았습니다 조금 바쁜시간에 가서 그런지 실수가 많 았는 점은 조금 아쉬워요,0,0,0,1,0,0,0,0,0,0,0
67,통인동커피공방 위켄드,주인장께서 커피 콩을 최상으로 커피맛,0,1,0,0,0,0,0,0,0,0,0
68,통인동커피공방 위켄드,음료가 비싼 편이지만 가게가 예쁘고 분위기 좋아요,0,0,1,0,0,0,0,0,0,0,0
69,통인동커피공방 위켄드,통인시장 구경갔다가 들렸어요 딸기주스 엄청 맛있어요,0,0,0,0,0,1,0,0,0,0,0
70,통인동커피공방 위켄드,커피가 넘맛나요 봄 넘생각날 듯,0,1,0,0,0,0,0,0,0,0,0
71,통인동커피공방 위켄드,친절하세요 듣던대로 커피맛도 깔끔하고 좋네요 날씨가 더워서 흡입하듯 마셨엉요,1,1,0,0,0,0,0,0,0,0,0
72,통인동커피공방 위켄드,한 잔은 적고 두 잔은 많은 맛있는 커피 따로 파시는 원두도 좋고 향도 좋아요 에스프레소가 천원 가격만 조금 더 착하면 좋겠다,0,1,0,0,0,0,0,0,0,0,0
73,myc,새로 나온 디저트 크러핀 처음 먹어보는건데 적당히 달면서 되게 맛있네요 커피랑 잘 어울려요 개인적으로 서촌에서 가장 커피메뉴들이 맛있는 카페에요,0,1,0,1,0,0,0,0,0,0,0
74,myc,친절하고 커피도 맛있어요,1,1,0,0,0,0,0,0,0,0,0
75,myc,코리아노 미숫가루 베이스 커피로 고소하고 특이하고 맛있네요,0,0,0,0,0,1,0,0,0,0,0
76,myc,코리아노 맛나고 스티키파이 요거 이게 진짜 식감도 맛도 지기네요 찹쌀떡 같은 친구인데 아기자기한 게 맛은 으른이네요,0,0,0,1,0,0,0,0,0,0,0
77,myc,카페인 없는 밀크티가 매우 맛있었다 펄 추가 있음 하고 싶었다 브라우니는 단 걸 못 먹는 내겐 너무 달았으나 친구들은 대만족,0,0,0,1,0,1,0,0,0,0,0
78,myc,스티키파이랑 플랫화이트 최고에요,0,1,0,1,0,0,0,0,0,0,0
79,myc,지나가다 테이크아웃 했는데 커피 정말 맛있게 마셨습니다,0,1,0,0,0,0,0,0,0,0,0
80,모드니에,파리브레스트 사러 방문 프랑스 디저트가 주를 이루는 작은 가게로 다양한 메뉴들이 있고 피스타치오크림이 얀 보다 덜 달아서 좋음 헤이즐넛 크림이면 더 좋았겠지만 다음에 다른 메뉴도 도전해보고 싶음,0,0,0,1,0,0,0,0,0,0,0
81,모드니에,프랑스디저트들을 다양하게 먹을수있어서 좋았어요 마들렌은 모두 글레이즈가 되어있어서 촉촉했지만 살짝 제 입엔 달았고 휘낭시에와 까눌레는 맛있었어요 새로운 모양의 플로랑탱도 맛있었어요,0,0,0,1,0,0,0,0,0,0,0
82,모드니에,까눌레 휘낭시에 식감 미쳤 감태 누룽지휘낭시에 메뉴가 특별해서 넘 좋았어요 레몬 마들렌도 맛있었어요 페스츄리를 너무 좋아해서 크로와상 뺑오쇼콜라도 구입했는데 페스츄리는 솔직히 좀 그 외에 구움과자류는 다 맛있어서 다음에 또 구입하려고요,0,0,0,1,0,0,0,0,0,0,0
83,모드니에,마들렌이 촉촉하고 넘나 맛잇어요 커피도 맛잇음,0,1,0,1,0,0,0,0,0,0,0
84,모드니에,구움과자랑 빵좋아하는분 근처오면 꼭방문해보세요 좌석은 테이블 개라 거의테이크아웃 위주인데 감태휘낭시에랑 누룽지휘낭시에 같이 처음 보는거있어서 먹어봣는데 존맛탱 피칸마들렌도 맛나고 다맛나보여서 혼날뻔 다음에또갈거에요,0,0,0,1,0,0,0,0,0,0,0
85,모드니에,마들렌이 촉촉하고 맛있어요,0,0,0,1,0,0,0,0,0,0,0
86,모드니에,마들렌이랑 까눌레처럼 작고 아담한 맛있는 빵이 많아요 커피를 앉아서 먹기에는 매장이 협소해요 그래서 포장하는 손님들이 많더라구요 저희는 잠시 앉았다갔는데 너무 맛있게 먹고 갔습니다,0,0,0,0,0,0,0,0,0,0,0
87,모드니에,빵맛있다고 친구가 강추해서 갔는데 빵은 맛있어요 근데 여자직원분 불친절해요 기분 안좋으셨나요 오늘 하루 기분 안좋아서 불친절했던 거라 생각할게요 서비스 생각하면 다신 가고싶지 않고요 굳이 찾아와서 리뷰를 적게 되네요 진짜 눈으로 싸울뻔했어요 서비스에 신경 좀 쓰시길 바라요,0,0,0,1,0,0,0,0,0,0,0
88,모드니에,담백하니 맛있어요 마들렌이랑 마카롱만 구매 했는데 다른 디저트들도 사보고 싶어요,0,0,0,1,0,0,0,0,0,0,0
89,롤로도넛,와 진짜 세가지 다 맛있어요 레몬크림도넛이 진짜 최고로 맛있구요 트로피칼 어쩌구 도넛은 의외로 너무 맛있어요 무슨 잎사귀 들어있는것도 굉장히 상큼하고 잘 어울립니다 발로나초코 라즈베리는 초코와 라즈베리 조합이 아주 잘어울리고 초코도 고급진 맛이라 제가 고른 메뉴가 아니지만 맛있게 먹었습니다 재방문의사 있습니다,0,0,0,1,0,0,0,0,0,0,0
90,롤로도넛,먹어보고 깜짝 놀라 이번에는 리뷰 남깁니다 빵이 촉촉하고 쫄깃하니 완전 맛있어요 레몬크림은 진짜 상큼하고 애플시나몬은 전 자레인지 살짝 돌려서 아메리카노랑 먹으니 세상 맛있네요 맛난 도넛집 알게 돼서 기뻐요 서촌 갈때는 꼭 롤로도넛 들릅니당,0,1,0,1,0,0,0,0,0,0,0
91,롤로도넛,도넛도 맛있고 커피도 맛있어요 어떤 도넛이든 던킨보단 다 맛있어요 던킨은 솔직히 편의점 도넛만도 못하다는,0,1,0,1,0,0,0,0,0,0,0
92,롤로도넛,포장도 꼼꼼하게 해주시고 도넛도 엄청 맛있네요 개인적으로는 크랜베리,0,0,0,1,0,0,0,0,0,0,0
93,롤로도넛,신선한 도넛 이젠 날이 더워 코팅이 녹으니 드시고 가세요,0,0,0,1,0,0,0,0,0,0,0
94,롤로도넛,아메리카노는 보통이고 블루베리 크림치즈 크림 가득이에요 굿,0,0,0,1,0,0,0,0,0,0,0
95,롤로도넛,북촌에 있는 노티드나 랜드스가 있다면 서촌에는 롤로가 있다고 생각합니다 매장이 작아 앉을 수 있는 자리가 적은게 단점이지만 도넛 정말 맛있고 커피도 맛있습니다 매장도 이쁘게 잘 꾸며져서 사진도 이쁘게 나옵니다 크랜베리 크림도넛 맛있어서 추천하고 싶습니다,0,0,0,1,0,0,0,1,0,0,0
96,롤로도넛,도넛 하나 먹고 미국인줄 프랑스밀가루로 만든 발효도우 맛이 없을 수 없음 지나가면서 커피랑 도넛 꼭 드셔보세요,1,0,0,1,0,0,0,0,0,0,0
97,롤로도넛,초코가 생각보다 안달아서 좋아요,0,0,0,0,0,0,0,0,0,0,0
98,뮬랭 듀 몽드,밀가루 빵이 아닌 쌀가루로 만든 쌀빵이 정말 맛있는 곳입니다 쌀이다보니 소화가 더 잘 되는 듯해요 찹쌀타르트도 쫄깃한게 너무 맛있어요 사장님도 너무 친절하시고 좋아요,1,0,0,1,0,0,0,0,0,0,0
99,뮬랭 듀 몽드,빵은 쌀로 만들어서 사이즈는 다소 작으나 맛은 굿굿 완전 쫀쫀 담번에는 치즈랑 다른 식빵들도 도전하고 싶어요 가격은 조금 있는 편,0,0,0,1,0,0,0,0,0,0,0
100,뮬랭 듀 몽드,엄마 아빠도 담백하다고 하시며 맛있게 드셨습니당 너무 맛있어서 그 자리에서 순삭했어요 또 방문할게요 더더더 번창하세요,0,0,0,1,0,0,0,0,0,0,0
101,뮬랭 듀 몽드,오잉 쿠키는 어떻게 받는건가요 안주시던데 나트륨 없는 쌀식빵이라 너무 좋아요,0,0,0,0,0,0,0,0,0,0,0
102,뮬랭 듀 몽드,쌀로 만든 빵과 디저트 파는 곳입니다 방부제 표백제 유화제가 없다고 하네요,0,0,0,0,0,0,0,0,0,0,0
103,뮬랭 듀 몽드,쌀식빵이라 그런지 쫄깃쫄깃하고 맛있네요,0,0,0,1,0,0,0,0,0,0,0
104,뮬랭 듀 몽드,통팥앙 새로 나왔다고 사서먹었는데 정말 돈 아까웠어요 쌀빵이라하지만 빵부분은 다 버리고 쌀빵만 찾아 먹는데 이곳은 절대 추 천못하겠어요 맛이 너무 달고 그렇다고 건강한맛도 아니고 비추 정말 빵사서 거의 다 버린건 처음,0,0,0,0,0,0,0,0,0,0,0
105,뮬랭 듀 몽드,쌀식빵 조아요 가격대는 있지만 식빵 원 좋은재료니까요,0,0,0,0,0,0,0,0,0,0,0
106,피오르,이탈리아가 생각나는 맛이에요,0,0,0,0,0,0,0,0,0,0,0
107,피오르,평소에도 종종 먹었지만 리뷰는 처음이네요 그린 토마토와 빈투바 초콜릿 먹었는데 정말 맛있었어요 장미가 없어져서 아쉬웠는데 앞으론 이거 먹어야겠어요,0,0,0,1,0,0,0,0,0,0,0
108,피오르,맛있고 친절해요오오오,1,0,0,0,0,0,0,0,0,0,0
109,피오르,맛있음 좁지만 층에 먹고 갈 수 있는 좌석 있음,0,0,0,0,0,0,0,0,0,0,0
110,피오르,젤라또 여러가지 맛 다 맛있어요 일부로 영수증 다시 달라고해서 적는건 처음이에요 꼭 들려보세요,0,0,0,1,0,0,0,0,0,0,0
111,피오르,한가지맛과 두가지맛 가격 다르고 맛 마다 질감 차이가 크네요,0,0,0,0,0,0,0,0,0,0,0
112,피오르,정망 죄송하지만 알자생인지 주인인지 모르겠지만 너무 불친절하고 맛도 없어요,0,0,0,0,0,0,0,0,0,0,0
113,후후라운지,후후 라운지 소문듣고 왔는데 뭔가 외국에 여행 온 느낌이 들어서 너무 좋네요 커피도 너무 맛있어서 물어봤는데 독일에서 유명한 바 카스 커피를 쓴다고 하네요 아지트 같은 편안한 느낌이 들어서 다시 오려구요,0,0,1,0,0,0,1,0,0,0,0
114,후후라운지,너무너무 친절하게 설명해 주시고 이쁜 소품 악세사리 너무 많아요 다음엔 커피 마시러 갈께요 사브레 감사합니다,1,0,1,0,0,0,0,0,0,0,0
115,후후라운지,하 달지않으나 초코가 제대로인 초코케익이랑 유럽맛 아이스아메리카노 찐으로 맛있었는데 먹느라 까먹고 사진을 못 찍었어요 친절하시고 맛있고 분위기 좋고 가끔 길냥냥이들도 구경하고 저는 후후가 너무 쪼아요,1,1,1,1,0,0,1,0,0,0,0
116,후후라운지,디저트가 대체적으로 다 맛잇고 분위기도 괜찮네요,0,0,1,1,0,0,0,0,0,0,0
117,카페르뮤즈,메트로감성을 느낄수 있는곳에요,0,0,1,0,0,0,0,0,0,0,0
